y,gpp_2000
842,120.2973
843,120.2151
844,120.2173
845,120.1105
846,120.216
847,120.3542
848,120.2223
849,120.1231
850,120.2783
851,120.2023
852,120.119
853,120.2375
854,120.3123
855,120.1091
856,120.0711
857,120.0073
858,120.2092
859,120.239
860,120.167
861,120.1812
862,120.3767
863,120.2344
864,120.1034
865,120.1346
866,120.138
867,120.0496
868,120.1344
869,120.0338
870,120.0884
871,120.139
872,120.067
873,120.0449
874,120.2163
875,120.1234
876,120.0814
877,120.1314
878,120.2493
879,120.0862
880,120.0942
881,120.0264
882,120.1943
883,120.2477
884,120.0475
885,120.0244
886,120.21
887,120.0827
888,120.0515
889,120.1335
890,120.1171
891,119.9146
892,119.9364
893,119.9086
894,120.8712
895,120.7729
896,121.0395
897,121.3295
898,121.6223
899,121.5829
900,121.6026
901,121.6743
902,121.652
903,121.6458
904,121.6588
905,121.6799
906,121.7373
907,121.7885
908,121.7628
909,121.8459
910,121.9447
911,121.8123
912,121.8307
913,121.8934
914,121.8091
915,121.7472
916,121.7614
917,121.7406
918,121.8242
919,121.778
920,121.706
921,121.7246
922,121.0071
923,120.4422
924,120.3935
925,120.371
926,120.2991
927,120.3054
928,120.1267
929,120.056
930,119.9958
931,119.9534
932,120.1005
933,119.9507
934,119.9535
935,119.9275
936,119.9051
937,120.0027
938,119.9661
939,119.9405
940,120.0623
941,120.0235
942,120.0486
943,120.0166
944,119.9982
945,119.9763
946,119.9821
947,120.0973
948,120.067
949,120.0756
950,120.076
951,120.0295
952,120.174
953,120.1205
954,120.0456
955,120.0842
956,120.0724
957,120.0991
958,120.0976
959,120.0717
960,120.1295
961,120.1678
962,120.2765
963,120.1812
964,120.2226
965,120.294
966,120.2277
967,120.3234
968,120.2514
969,120.1858
970,120.2022
971,120.2242
972,120.3251
973,120.2521
974,120.2197
975,120.2221
976,120.2526
977,120.3066
978,120.2367
979,120.2242
980,120.2462
981,120.2335
982,120.4172
983,120.3865
984,120.3192
985,120.3836
986,120.3541
987,120.3532
988,120.3426
989,120.3595
990,120.4276
991,120.4058
992,120.4749
993,120.385
994,120.3296
995,120.3287
996,120.2897
997,120.4148
998,120.3689
999,120.3169
1000,120.3952
1001,120.3795
1002,120.4638
1003,120.4553
1004,120.4659
1005,120.4189
1006,120.4432
1007,120.4636
1008,120.3516
1009,120.3329
1010,120.3429
1011,120.2619
1012,120.4526
1013,120.394
1014,120.3437
1015,120.4021
1016,120.303
1017,120.3982
1018,120.3835
1019,120.3677
1020,120.415
1021,120.4454
1022,120.3878
1023,120.7872
1024,120.626
1025,120.5702
1026,120.4944
1027,120.4553
1028,120.7388
1029,120.6832
1030,120.7723
1031,120.8543
1032,121.0345
1033,120.9642
1034,120.8424
1035,120.7705
1036,120.8745
1037,120.9093
1038,120.7849
1039,120.8649
1040,120.9362
1041,120.8423
1042,120.8962
1043,120.7543
1044,120.7989
1045,120.9183
1046,120.8232
1047,120.8861
1048,120.9209
1049,120.8588
1050,120.7622
1051,120.7463
1052,120.9285
1053,120.8334
1054,120.792
1055,120.7248
1056,120.7057
1057,120.7916
1058,120.6709
1059,120.7134
1060,120.8933
1061,120.7402
1062,120.7236
1063,120.7237
1064,120.7814
1065,120.7897
1066,120.7804
1067,120.8078
1068,120.729
1069,120.694
1070,120.6461
1071,120.6221
1072,120.8498
1073,120.7525
1074,120.6426
1075,120.6762
1076,120.7124
1077,120.7579
1078,120.6727
1079,120.6261
1080,120.7093
1081,120.6938
1082,120.6591
1083,120.5618
1084,120.7647
1085,120.7352
1086,120.5713
1087,120.7138
1088,120.7269
1089,120.6639
1090,120.647
1091,120.5496
1092,120.6696
1093,120.6356
1094,120.6483
1095,120.7037
1096,120.752
1097,120.7032
1098,120.5185
1099,120.5337
1100,120.6271
1101,120.6345
1102,120.7451
1103,120.61
1104,120.6006
1105,120.6533
1106,120.5475
1107,120.6279
1108,120.7589
1109,120.6814
1110,120.5508
1111,120.5288
1112,120.7192
1113,120.6262
1114,120.6131
1115,120.635
1116,120.6564
1117,120.7042
1118,120.5445
1119,120.5526
1120,120.714
1121,120.6423
1122,120.6377
1123,120.6073
1124,120.6342
1125,120.6242
1126,120.6024
1127,120.6136
1128,120.6154
1129,120.6864
1130,120.6519
1131,120.5785
1132,120.7777
1133,120.6352
1134,120.5423
1135,120.6186
1136,120.6889
1137,120.7382
1138,120.6218
1139,120.5625
1140,120.6292
1141,120.6063
1142,120.6278
1143,120.6265
1144,120.7818
1145,120.698
1146,120.5004
1147,120.6186
1148,120.6312
1149,120.5956
1150,120.6762
1151,120.5881
1152,120.6761
1153,120.5986
1154,120.5252
1155,120.57
1156,120.6973
1157,120.7538
1158,120.5763
1159,120.5607
1160,120.609
1161,120.559
1162,120.629
1163,120.5037
1164,120.6154
1165,120.6973
1166,120.579
1167,120.6248
1168,120.6974
1169,120.6083
1170,120.5179
1171,120.5883
1172,120.8015
1173,120.7068
1174,120.6929
1175,120.7031
1176,120.6953
1177,120.7714
1178,120.6709
1179,120.6682
1180,120.7903
1181,120.6523
1182,120.6369
1183,120.6269
1184,120.7253
1185,120.7877
1186,120.7372
1187,120.7001
1188,120.6564
1189,120.6845
1190,120.6154
1191,120.5808
1192,120.8482
1193,120.7459
1194,120.628
1195,120.6736
1196,120.715
1197,120.7542
1198,120.6999
1199,120.6846
1200,120.7451
